#,School Name,School Rank,School Page Link,Location,Admission Rage,Major,Collage,Collage Ranking,Major Page Link,Program length,Spring/Fall Program,Admission,,,,,,,,,,Comment
,,,,,,,,,,,,Deadline,GPA,GRE/GMAT,Toefl,Recommandation Letter,Personal Statement,resume,Special requirement,fee,Requirement Page Link,
1,"University of California, San Diego",39,https://ucsd.edu/,"La Jolla, CA 92093",33.50%,Master of Science in Business Analytics,Rady School,,https://apply.grad.ucsd.edu/masters-programs/ms#business-analytics-rs83, ,Fall,June 1,,GRE,80 (95-100 expected),>=2,yes,yes,Applicants will also be asked about their level of expertise and understanding of various topics relevant to this program.,  ,https://apply.grad.ucsd.edu/masters-programs/ms#business-analytics-rs83,
,,,,,,Statistic (MS),Matiematics,,https://apply.grad.ucsd.edu/masters-programs/ms#statistics-ma77, ,Fall,February 1,,GRE and GRE SUB,,3,yes,no,A list of all mathematics courses with corresponding textbooks in PDF format must be uploaded in the online application. , ,https://apply.grad.ucsd.edu/masters-programs/ms#statistics-ma77,
2,Northeastern University,47,http://www.northeastern.edu/,"Boston, MA",32.20%,Finance (MS),D'Amore-McKim School of Business,57,http://www.northeastern.edu/graduate/programs/finance/#masters,12 months,Fall,November to April,,GRE or GMAT,,2,,yes,One essay / student demonstrate leadership,$100,http://www.damore-mckim.northeastern.edu/academic-programs/graduate-programs/ms/finance/admissions, 
,,,,,,Information Systems (MS),College of Engineering,42,http://www.northeastern.edu/graduate/programs/information-systems/#masters,24 months (coop may longer),Fall / Spring,January 15 (Fall) / September 15 (Spring), ,GRE,79,2,yes,yes,"For Information Systems, any technical major (i.e. science, mathematics) is acceptable",$75,http://www.coe.neu.edu/degrees/graduate-admissions,
3,Boston University,41,http://www.bu.edu/,"Boston, MA",34.50%,MS in Statistical Practice,Graduate School of Arts & Sciences,49,http://www.bu.edu/academics/grs/programs/mathematics-statistics/ms-in-statistical-practice/,24 (32credits),Fall,February 15,,GRE,"reading 21, listening 18, speaking 23, writing 22",3,yes,,Support background of math,,http://www.bu.edu/math/grad_admit_faq/,
,,,,,,MS in Computer Information Systems,Metropolitan College,35,http://www.bu.edu/academics/met/programs/computer-science/computer-information-systems/ms-crc/,24 (32credits),,"October 1, 2016 (Spring)", ,GRE,"reading 21, listening 18, speaking 23, writing 22",3,yes,yes,A self-evaluation (short essay discussing your motivation for study),$80,http://www.bu.edu/academics/met/programs/computer-science/computer-information-systems/ms-crc/, 
4,"University of California, Santa Barbara",37,http://www.ucsb.edu/,"Santa Barbara, CA",36.30%,Statistics and Applied Probability (MA),College of Letters and Science,62,https://my.sa.ucsb.edu/catalog/Current/CollegesDepartments/ls-intro/stats.aspx?DeptTab=Graduate,  , ,January 10 (not mentioned for internation student), ,GRE,80,3,yes,yes,"PSTAT 120A-B-C (Probability and Statistics), Math 108A (linear algebra) and a basic computer science course", ,http://www.graddiv.ucsb.edu/departments/view/48,
5,Pennsylvania State University,47,http://www.psu.edu/,"State College, PA (middle of no where)",50.30%,Finance (Master of Finance),School of Graduate Professional Studies,41,http://bulletins.psu.edu/graduate/programs/F/GRAD%20FINAN, ,international student fall only,"No deadline, asap",,GRE or GMAT,80 (19 on speaking),2,yes,yes,statement of intent or career path objective (one page) / interview by phone or in person,,http://bulletins.psu.edu/graduate/programs/F/GRAD%20FINAN,
,,,,,,Master of Science in Information Science,School of Graduate Professional Studies,41,http://www.sgps.psu.edu/Academics/Degrees/32064.htm,18 months,international student fall only,4 week before,,Not required,,1,yes,yes,,,http://www.sgps.psu.edu/Academics/Degrees/32509.htm,
,,,,,,Information Sciences and Technology (IST),College of Information Sciences and Technology,,http://bulletins.psu.edu/graduate/programs/I/GRAD%20IST, ,,Decembr 15,,GRE or GMAT,80,3,yes,yes,"A writing sample, (jorunal articler, conference paper, final paper of course)",,http://ist.psu.edu/education/degree/ms,
,,,,,,Master of Science in Statistics,,,,,,,,,,,,,,,http://stat.psu.edu/education / http://stat.psu.edu/education/graduate-programs/master-of-science,Require very strong backgrond in statistic
6,"University of California, Irvine",39,https://uci.edu/,"Irvine, CA",37.4,Statistic (MS),Donald Bren School of Information & Computer Science,NA,http://www.stat.uci.edu/grad/index.php,,,,,GRE,80,3,yes,,"Undergraduate preparation in statistics, mathematics, and computing should include multivariate calculus (the equivalent of UCI courses Mathematics 2A-B, 2D-E), linear algebra (121A), elementary analysis (140A-B), introductory probability and statistics (Statistics 120A-B-C), and basic computing (ICS 21).",  ,http://www.ics.uci.edu/grad/admissions/Prospective_ApplicationProcess.php,
7,George Washington University,57,https://www.gwu.edu/,"Washington, DC",43.80%,Master of Science in Finance (M.S.F.),School of Business,,https://www.gwu.edu/graduate-programs/finance,12 / 24 months,,,,GRE or GMAT,,3,yes,yes,,,https://www.gwu.edu/graduate-programs/finance,
,,,,,,Master of Sciense in Information System Technology,School of Business,,https://www.gwu.edu/graduate-programs/information-systems-technology,18 - 24 months,Fall / Spring,June 1 (Fall) / October 1 (Spring), ,,100,3,yes,yes,,,https://www.gwu.edu/graduate-programs/information-systems-technology,Samiliar to NEU IS
,,,,,,Statistic (MS),Columbian College of Arts and Science,,https://www.gwu.edu/graduate-programs-statistics, ,Fall / Spring,April 1 (Fall) / October 1 (Spring), ,GRE,,2,yes,,"multivariate calculus, matrix theory and at least two undergraduate statistics courses",,https://www.gwu.edu/graduate-programs-statistics,
8,University of Connecticut,57,http://uconn.edu/,"Storrs, CT",50%,MS in Business Analytics and Project Management,School of Business,,http://msbapm.business.uconn.edu/#,,Fall / Spring,Septembr 30,,GMAT or GRE,79,information on reference,yes,yes,calculus course,,http://msbapm.business.uconn.edu/admissions/requirements/,
,,,,,,Graduate Programs in Risk Management (MSFRM),School of Business,,http://risk.business.uconn.edu/msfrm/,15 / 19 months,Fall,July 22,,GRE or GMAT,,2,,yes,calculus course / 2 eassy,,http://risk.business.uconn.edu/admissions/,
,,,,,,Statistic (MS),COLLEGE OF LIBERAL ARTS AND SCIENCES,,http://stat.uconn.edu/graduate/,,,,,GRE,80,3,yes,yes,,,http://stat.uconn.edu/graduate-admissions/,
9,Syracuse University,61,http://www.syr.edu/,"Syracuse, NY",53.20%,Applied Statistic,College of Arts and Sciences,,http://asacademics.syr.edu/AppliedStats/requirements_applStat.html, ,,Mid to last October,,,"85 (Writing: 21 Speaking, Reading, and Listening: 20)",2,,,"All applicants are expected to have a basic foundation in statistical training that includes one course in introductory statistics, one course in regression analysis, and four courses in applications areas.",$75,http://admissions.syr.edu/apply/internationalrequirements/firstyearchecklist/,
,,,,,,Finance (MS),SCHOOL OF MANAGEMENT,,http://whitman.syr.edu/programs-and-academics/programs/ms/finance/index.aspx,12 months,Fall,Nov 30 - Apr 19,,GRE or GMAT,,2,,yes,2 eassy,$75,http://whitman.syr.edu/programs-and-academics/programs/ms/finance/admission/application-checklist.aspx, 
,,,,,,MS in Information Management,School of Information Studies,,https://ischool.syr.edu/academics/graduate/masters-degrees/, ,Fall,February 1,,GRE,,2,yes,yes,optional video submission,$75,https://ischool.syr.edu/admissions/checklists/im-tnm-checklist/,
